x,y,z,estimate,variance
70.00,80.00,1840.00,1.23027,1.77190
90.00,80.00,1840.00,1.23027,1.77190
110.00,80.00,1840.00,1.23027,1.77190
130.00,80.00,1840.00,1.08017,1.81235
150.00,80.00,1840.00,1.35004,1.87003
-10.00,100.00,1840.00,1.35004,1.87003
10.00,100.00,1840.00,1.08017,1.81235
30.00,100.00,1840.00,1.23027,1.77190
50.00,100.00,1840.00,1.23027,1.77190
70.00,100.00,1840.00,1.23027,1.77190
90.00,100.00,1840.00,1.23027,1.77190
110.00,100.00,1840.00,1.23027,1.77190
130.00,100.00,1840.00,1.08017,1.81235
150.00,100.00,1840.00,1.35004,1.87003
10.00,120.00,1840.00,1.08017,1.81235
30.00,120.00,1840.00,1.08017,1.81235
50.00,120.00,1840.00,1.23027,1.77190
70.00,120.00,1840.00,1.23027,1.77190
90.00,120.00,1840.00,1.23027,1.77190
110.00,120.00,1840.00,1.08017,1.81235
130.00,120.00,1840.00,1.08017,1.81235
10.00,140.00,1840.00,1.35004,1.87003
30.00,140.00,1840.00,1.08017,1.81235
50.00,140.00,1840.00,1.08017,1.81235
70.00,140.00,1840.00,1.08017,1.81235
90.00,140.00,1840.00,1.08017,1.81235
110.00,140.00,1840.00,1.08017,1.81235
130.00,140.00,1840.00,1.35004,1.87003
30.00,160.00,1840.00,1.35004,1.87003
50.00,160.00,1840.00,1.35004,1.87003
70.00,160.00,1840.00,1.35004,1.87003
90.00,160.00,1840.00,1.35004,1.87003
110.00,160.00,1840.00,1.35004,1.87003
90.00,-380.00,1860.00,0.15379,1.87002
110.00,-380.00,1860.00,0.15379,1.87002
130.00,-380.00,1860.00,0.15379,1.87002
150.00,-380.00,1860.00,0.15379,1.87002
50.00,-360.00,1860.00,0.15379,1.87002
70.00,-360.00,1860.00,0.11223,1.81235
90.00,-360.00,1860.00,0.11223,1.81235
110.00,-360.00,1860.00,0.11223,1.81235
130.00,-360.00,1860.00,0.11223,1.81235
150.00,-360.00,1860.00,0.11223,1.81235
170.00,-360.00,1860.00,0.15379,1.87002
50.00,-340.00,1860.00,0.15379,1.87002
70.00,-340.00,1860.00,0.11223,1.81235
90.00,-340.00,1860.00,0.09633,1.77190
110.00,-340.00,1860.00,0.09633,1.77190
130.00,-340.00,1860.00,0.09633,1.77190
150.00,-340.00,1860.00,0.09633,1.77190
170.00,-340.00,1860.00,0.11223,1.81235
190.00,-340.00,1860.00,0.15379,1.87002
30.00,-320.00,1860.00,0.15379,1.87002
50.00,-320.00,1860.00,0.11223,1.81235
70.00,-320.00,1860.00,0.09633,1.77190
90.00,-320.00,1860.00,0.20224,1.73778
110.00,-320.00,1860.00,0.20224,1.73778
130.00,-320.00,1860.00,0.20224,1.73778
150.00,-320.00,1860.00,0.09633,1.77190
170.00,-320.00,1860.00,0.11223,1.81235
190.00,-320.00,1860.00,0.15379,1.87002
30.00,-300.00,1860.00,0.15379,1.87002
50.00,-300.00,1860.00,0.11223,1.81235
70.00,-300.00,1860.00,0.09633,1.77190
90.00,-300.00,1860.00,0.20224,1.73778
110.00,-300.00,1860.00,0.20224,1.73778
130.00,-300.00,1860.00,0.91293,1.42455
150.00,-300.00,1860.00,0.99119,1.40902
170.00,-300.00,1860.00,1.02366,1.42010
190.00,-300.00,1860.00,1.07679,1.43501
210.00,-300.00,1860.00,1.21020,1.46525
30.00,-280.00,1860.00,0.15379,1.87002
50.00,-280.00,1860.00,0.11223,1.81235
70.00,-280.00,1860.00,0.09633,1.77190
90.00,-280.00,1860.00,0.09633,1.77190
110.00,-280.00,1860.00,1.02709,1.39923
130.00,-280.00,1860.00,1.04051,1.39580
150.00,-280.00,1860.00,1.15242,1.38595
170.00,-280.00,1860.00,1.18712,1.39580
190.00,-280.00,1860.00,1.24254,1.40902
210.00,-280.00,1860.00,1.37824,1.43564
230.00,-280.00,1860.00,2.03416,1.81235
250.00,-280.00,1860.00,1.99979,1.87002
50.00,-260.00,1860.00,0.15379,1.87002
70.00,-260.00,1860.00,0.11223,1.81235
90.00,-260.00,1860.00,0.87172,1.43564
110.00,-260.00,1860.00,1.04051,1.39580
130.00,-260.00,1860.00,1.15242,1.38595
150.00,-260.00,1860.00,1.11541,1.38663
170.00,-260.00,1860.00,1.11541,1.38663
190.00,-260.00,1860.00,1.16717,1.39923
210.00,-260.00,1860.00,2.02651,1.73778
230.00,-260.00,1860.00,2.20850,1.77190
250.00,-260.00,1860.00,2.03416,1.81235
270.00,-260.00,1860.00,1.99979,1.87002
70.00,-240.00,1860.00,0.15379,1.87002
90.00,-240.00,1860.00,1.07320,1.40617
110.00,-240.00,1860.00,1.18712,1.39580
130.00,-240.00,1860.00,1.11541,1.38663
150.00,-240.00,1860.00,1.27981,1.37788
170.00,-240.00,1860.00,1.33559,1.38990
190.00,-240.00,1860.00,1.47031,1.41401
210.00,-240.00,1860.00,2.29530,1.70653
230.00,-240.00,1860.00,2.02651,1.73778
250.00,-240.00,1860.00,2.20850,1.77190
270.00,-240.00,1860.00,2.03416,1.81235
70.00,-220.00,1860.00,1.08943,1.50000
90.00,-220.00,1860.00,1.12621,1.42010
110.00,-220.00,1860.00,1.16717,1.39923
130.00,-220.00,1860.00,2.32567,1.28079
150.00,-220.00,1860.00,2.20368,1.27603
170.00,-220.00,1860.00,2.20368,1.27603
190.00,-220.00,1860.00,2.92850,1.38128
210.00,-220.00,1860.00,3.36062,1.41459
230.00,-220.00,1860.00,3.36062,1.41459
250.00,-220.00,1860.00,2.02651,1.73778
270.00,-220.00,1860.00,2.03416,1.81235
290.00,-220.00,1860.00,1.99979,1.87002
70.00,-200.00,1860.00,1.99979,1.87002
90.00,-200.00,1860.00,3.36711,1.43646
110.00,-200.00,1860.00,2.34447,1.40002
130.00,-200.00,1860.00,2.18911,1.37861
150.00,-200.00,1860.00,2.53825,1.36132
170.00,-200.00,1860.00,2.53825,1.36132
190.00,-200.00,1860.00,2.53825,1.36132
