x,y,z,clay,chalcosite,bornite,chalcopyrite
-131.572240,-354.941118,2451.622872,0.004394,0.182701,0.004303,0.630543
-132.946577,-354.924011,2446.815492,0.005230,0.213213,0.005052,0.919926
-134.320914,-354.906904,2442.008111,0.005205,0.242770,0.005103,1.371570
-54.354328,-355.248649,2560.217534,1.535690,0.000496,0.001060,0.157514
-55.813099,-355.246219,2555.435068,2.787626,0.000509,0.084657,0.198590
-57.271869,-355.243789,2550.652601,5.015770,0.000472,0.090786,0.172164
-58.730640,-355.241358,2545.870135,3.629468,0.000428,0.072361,0.104789
-60.189410,-355.238928,2541.087669,2.502919,0.000462,0.061239,0.120816
-61.648181,-355.236497,2536.305203,1.647007,0.000614,0.002638,0.163291
-63.106951,-355.234067,2531.522737,1.232179,0.000552,0.001022,0.165576
-64.565722,-355.231636,2526.740271,1.039732,0.000486,0.000982,0.189609
-66.024492,-355.229206,2521.957804,0.004538,0.000926,0.000544,0.218505
-67.483263,-355.226776,2517.175338,0.004834,0.001153,0.010619,0.195409
-68.942033,-355.224345,2512.392872,0.005009,0.015977,0.058145,0.207123
-70.400804,-355.221915,2507.610406,0.005009,0.015977,0.058145,0.207123
-71.859574,-355.219484,2502.827940,0.004941,0.004008,0.051103,0.258829
-73.318345,-355.217054,2498.045474,0.005285,0.032432,0.003309,0.203994
-74.777115,-355.214624,2493.263007,0.004887,0.006428,0.027677,0.199779
-76.235886,-355.212193,2488.480541,0.004956,0.027171,0.065165,0.215461
-77.694656,-355.209763,2483.698075,0.005121,0.033813,0.001072,0.157201
-79.153427,-355.207332,2478.915609,0.004550,0.003446,0.000469,0.172800
-80.612197,-355.204902,2474.133143,0.004924,0.005154,0.000508,0.165441
-82.070968,-355.202472,2469.350677,0.004921,0.001980,0.000509,0.211525
-83.529738,-355.200041,2464.568210,0.004741,0.033182,0.000496,0.169653
-84.988509,-355.197611,2459.785744,0.004859,0.069983,0.000611,0.106104
-86.447279,-355.195180,2455.003278,0.005643,0.004478,0.000592,0.189961
-87.906050,-355.192750,2450.220812,0.053601,0.003044,0.001033,0.271924
-89.364820,-355.190319,2445.438346,0.005000,0.004775,0.000596,0.258116
-90.823591,-355.187889,2440.655879,0.005078,0.015570,0.000525,0.199484
-92.282361,-355.185459,2435.873413,1.025308,0.003675,0.000492,0.187113
-93.741132,-355.183028,2431.090947,1.693145,0.002230,0.000506,0.185835
-95.199902,-355.180598,2426.308481,3.426972,0.000485,0.000477,0.180034
-96.658673,-355.178167,2421.526015,3.050885,0.000502,0.000491,0.191266
-98.117443,-355.175737,2416.743549,3.886718,0.000466,0.000476,0.224137
-99.576214,-355.173307,2411.961082,4.772917,0.000508,0.000550,0.232611
-101.034984,-355.170876,2407.178616,3.350365,0.000521,0.000539,0.164313
-102.493755,-355.168446,2402.396150,5.524464,0.000502,0.000514,0.164067
-103.952525,-355.166015,2397.613684,5.524464,0.000502,0.000514,0.164067
-105.411296,-355.163585,2392.831218,5.072208,0.000523,0.000519,0.154299
-106.870066,-355.161155,2388.048752,3.697738,0.000466,0.000466,0.143202
-108.328837,-355.158724,2383.266285,3.877546,0.000493,0.000509,0.260425
-109.787607,-355.156294,2378.483819,3.894674,0.000500,0.000515,0.247693
-111.246378,-355.153863,2373.701353,4.792286,0.000492,0.000514,0.217230
-112.705148,-355.151433,2368.918887,3.616918,0.000511,0.000563,0.259952
-114.163919,-355.149002,2364.136421,7.317744,0.000465,0.002970,0.250072
-115.622689,-355.146572,2359.353955,6.328292,0.003100,0.007989,0.870996
-117.081460,-355.144142,2354.571488,10.331550,0.003257,0.202169,1.065958
-8.999598,-356.861095,2554.111760,1.675925,0.001685,0.064327,0.142091
-10.050791,-356.851153,2549.223519,1.592312,0.005657,0.087674,0.127745
-11.101984,-356.841211,2544.335279,2.877276,0.000509,0.077318,0.193132
-12.153177,-356.831268,2539.447038,2.812371,0.001244,0.082719,0.158540
-13.204370,-356.821326,2534.558798,3.100063,0.002062,0.097496,0.108774
-14.255563,-356.811384,2529.670558,2.762320,0.030886,0.907612,0.478653
-15.306756,-356.801441,2524.782317,6.999556,0.004110,1.252647,1.452148
-16.357950,-356.791499,2519.894077,3.645318,0.011900,1.077615,1.592029
-17.409143,-356.781557,2515.005836,4.022588,0.004597,1.059888,1.514751
-18.460336,-356.771615,2510.117596,1.908401,0.001967,0.816714,2.485972
-19.511529,-356.761672,2505.229356,2.744325,0.002106,1.137758,1.887031
-20.562722,-356.751730,2500.341115,3.887306,0.001995,0.653391,1.136451
-21.613915,-356.741788,2495.452875,4.487435,0.003673,0.575220,1.715128
-22.665108,-356.731845,2490.564635,3.761900,0.002266,0.312633,1.652153
-23.716302,-356.721903,2485.676394,3.599456,0.000525,0.019555,0.182085
-24.767495,-356.711961,2480.788154,3.453870,0.000518,0.000595,0.214359
